Event Title,Description,Menu,Suggested Price Per Person,,,,,Formatting Rules
Classic Midwest,"A tasting inspired by the great restaurants of Chicago; where it all started. 
See the full menu by clicking “View Menu” above. Plating of items 
may vary from the photos shown.",Classic Midwest,125.00,,,,,
,,,,,,,,
Carribean BBQ,"Chef Austin grills up BBQ favorites with a hint of Latin and Caribbean flavors for a relaxing and fun summertime event. 
Check out the full menu by clicking ""View Menu"" and be sure to get your ticket for this summertime feast! 
Plating of items may vary from photos shown.",Caribbean Backyard BBQ,115.00,,,,,
,,,,,,,,
Housewarming Party,"Lets' show off that brand new kitchen and break it in with friends and family! A variety of dieshes will be showcased to go 
along with celebratory drinks! See the full menu by clicking “View Menu” above. Plating of items may vary from the photos shown.",Housewarming Party,125.00,,,,,
,,,,,,,,
Valtine's Day,"Celebrate with your special someone as Chef creates a romantic dinner for two; paired with 
wine and finsihed with chocolate! See the full menu by clicking “View Menu” above. 
Plating of items may vary from the photos shown.",Valentine’s Plated Dinner,300.00,,,,,
,,,,,,,,
Classic Italian Night,"Bold and satisfying without being heavy, Italian cuisine is definitely an American favorite. 
Join Chef as he masterfully prepares a rich and textural meal Inspired by Italy. See the 
full menu by clicking “View Menu” above. Plating of items may vary from the photos shown.",Classic Italian Inspired Dinner,145.00,,,,,
,,,,,,,,
Virtual Friends and Family,"Have a blast cooking with your friends, family or loved ones as Chef coaches your group to a finished successful dinner. You will start 
with cutting and chopping, move into live cooking, and finish with a full completed dinner, all while enjoying time with your closest 
friends and family. A great alternative to ordering in or grabbing take out. See the full menu by clicking “View Menu” above. Once your 
ticket is purchased, Chef will send you a suggested menu and shopping list complete with alternatives to help make your culinary 
experience catered to your favorite ingredients. You will also receive a “mise en place” list of items you should already have in your 
kitchen or pantry as well as what equipment you will be using. $34.99 per computer. Up to 20 computers per session.",Chef's Virtual Friends & Family Dinner,35.00,,,,,
,,,,,,,,
Virtual Dinner Party with Pork Tenderloin,"Have a blast cooking with your friends, family or loved ones as Chef coaches your group to a finished successful dinner. You will start 
with cutting and chopping, move into live cooking, and finish with a full completed dinner, all while enjoying time with your closest 
friends and family. A great alternative to ordering in or grabbing take out. See the full menu by clicking “View Menu” above. Once your 
ticket is purchased, Chef will send you a suggested menu and shopping list complete with alternatives to help make your culinary 
experience catered to your favorite ingredients. You will also receive a “mise en place” list of items you should already have in your 
kitchen or pantry as well as what equipment you will be using. $34.99 per computer. Up to 20 computers per session.",Virtual Dinner Party with Pork Tenderloin,35.00,,,,,
,,,,,,,,
Virtual Dinner Party with Roasted Chicken,"Have a blast cooking with your friends, family or loved ones as Chef coaches your group to a finished successful dinner. You will start 
with cutting and chopping, move into live cooking, and finish with a full completed dinner, all while enjoying time with your closest 
friends and family. A great alternative to ordering in or grabbing take out. See the full menu by clicking “View Menu” above. Once your 
ticket is purchased, Chef will send you a suggested menu and shopping list complete with alternatives to help make your culinary 
experience catered to your favorite ingredients. You will also receive a “mise en place” list of items you should already have in your 
kitchen or pantry as well as what equipment you will be using. $34.99 per computer. Up to 20 computers per session.",Virtual Dinner Party with Roasted Chicken,35.00,,,,,
,,,,,,,,
Virtual Dinner Party Globally Inspired,"Have a blast cooking with your friends, family or loved ones as Chef coaches your group to a finished successful dinner. You will start 
with cutting and chopping, move into live cooking, and finish with a full completed dinner, all while enjoying time with your closest 
friends and family. A great alternative to ordering in or grabbing take out. See the full menu by clicking “View Menu” above. Once your 
ticket is purchased, Chef will send you a suggested menu and shopping list complete with alternatives to help make your culinary 
experience catered to your favorite ingredients. You will also receive a “mise en place” list of items you should already have in your 
kitchen or pantry as well as what equipment you will be using. $34.99 per computer. Up to 20 computers per session.",Virtual Dinner Party Globally Inspired,35.00,,,,,
,,,,,,,,
Virtual Dinner Party Taste of the Mediterranean,"Have a blast cooking with your friends, family or loved ones as Chef coaches your group to a finished successful dinner. You will start 
with cutting and chopping, move into live cooking, and finish with a full completed dinner, all while enjoying time with your closest 
friends and family. A great alternative to ordering in or grabbing take out. See the full menu by clicking “View Menu” above. Once your 
ticket is purchased, Chef will send you a suggested menu and shopping list complete with alternatives to help make your culinary 
experience catered to your favorite ingredients. You will also receive a “mise en place” list of items you should already have in your 
kitchen or pantry as well as what equipment you will be using. $34.99 per computer. Up to 20 computers per session.",Virtual Dinner Party Taste of the Mediterranean,35.00,,,,,
,,,,,,,,
Virtual Dinner Party American Steakhouse,"Have a blast cooking with your friends, family or loved ones as Chef coaches your group to a finished successful dinner. You will start 
with cutting and chopping, move into live cooking, and finish with a full completed dinner, all while enjoying time with your closest 
friends and family. A great alternative to ordering in or grabbing take out. See the full menu by clicking “View Menu” above. Once your 
ticket is purchased, Chef will send you a suggested menu and shopping list complete with alternatives to help make your culinary 
experience catered to your favorite ingredients. You will also receive a “mise en place” list of items you should already have in your 
kitchen or pantry as well as what equipment you will be using. $34.99 per computer. Up to 20 computers per session.",Virtual Dinner Party American Steakhouse,35.00,,,,,
,,,,,,,,
Virtual Dinner Party Tapas Menu,"Have a blast cooking with your friends, family or loved ones as Chef coaches your group to a finished successful dinner. You will start 
with cutting and chopping, move into live cooking, and finish with a full completed dinner, all while enjoying time with your closest 
friends and family. A great alternative to ordering in or grabbing take out. See the full menu by clicking “View Menu” above. Once your 
ticket is purchased, Chef will send you a suggested menu and shopping list complete with alternatives to help make your culinary 
experience catered to your favorite ingredients. You will also receive a “mise en place” list of items you should already have in your 
kitchen or pantry as well as what equipment you will be using. $34.99 per computer. Up to 20 computers per session.",Virtual Dinner Party Tapas Menu,35.00,,,,,
,,,,,,,,
Virtual Dinner Party Thai Cooking Class,"Have a blast cooking with your friends, family or loved ones as Chef coaches your group to a finished successful dinner. You will start 
with cutting and chopping, move into live cooking, and finish with a full completed dinner, all while enjoying time with your closest 
friends and family. A great alternative to ordering in or grabbing take out. See the full menu by clicking “View Menu” above. Once your 
ticket is purchased, Chef will send you a suggested menu and shopping list complete with alternatives to help make your culinary 
experience catered to your favorite ingredients. You will also receive a “mise en place” list of items you should already have in your 
kitchen or pantry as well as what equipment you will be using. $34.99 per computer. Up to 20 computers per session.",Virtual Dinner Party Thai Cooking Class,35.00,,,,,
,,,,,,,,
Virtual Dinner Party Tour of Asia,"Have a blast cooking with your friends, family or loved ones as Chef coaches your group to a finished successful dinner. You will start 
with cutting and chopping, move into live cooking, and finish with a full completed dinner, all while enjoying time with your closest 
friends and family. A great alternative to ordering in or grabbing take out. See the full menu by clicking “View Menu” above. Once your 
ticket is purchased, Chef will send you a suggested menu and shopping list complete with alternatives to help make your culinary 
experience catered to your favorite ingredients. You will also receive a “mise en place” list of items you should already have in your 
kitchen or pantry as well as what equipment you will be using. $34.99 per computer. Up to 20 computers per session.",Virtual Dinner Party Tour of Asia,35.00,,,,,
,,,,,,,,
Virtual Dinner Party Vegan Plated Dinner,"Have a blast cooking with your friends, family or loved ones as Chef coaches your group to a finished successful dinner. You will start 
with cutting and chopping, move into live cooking, and finish with a full completed dinner, all while enjoying time with your closest 
friends and family. A great alternative to ordering in or grabbing take out. See the full menu by clicking “View Menu” above. Once your 
ticket is purchased, Chef will send you a suggested menu and shopping list complete with alternatives to help make your culinary 
experience catered to your favorite ingredients. You will also receive a “mise en place” list of items you should already have in your 
kitchen or pantry as well as what equipment you will be using. $34.99 per computer. Up to 20 computers per session.",Virtual Dinner Party Vegan Plated Dinner,35.00,,,,,
,,,,,,,,
Virtual Dinner Party Ketogenic,"Have a blast cooking with your friends, family or loved ones as Chef coaches your group to a finished successful dinner. You will start 
with cutting and chopping, move into live cooking, and finish with a full completed dinner, all while enjoying time with your closest 
friends and family. A great alternative to ordering in or grabbing take out. See the full menu by clicking “View Menu” above. Once your 
ticket is purchased, Chef will send you a suggested menu and shopping list complete with alternatives to help make your culinary 
experience catered to your favorite ingredients. You will also receive a “mise en place” list of items you should already have in your 
kitchen or pantry as well as what equipment you will be using. $34.99 per computer. Up to 20 computers per session.",Virtual Dinner Party Ketogenic,35.00,,,,,
,,,,,,,,
Virtual Dinner Party French Inspired,"Have a blast cooking with your friends, family or loved ones as Chef coaches your group to a finished successful dinner. You will start 
with cutting and chopping, move into live cooking, and finish with a full completed dinner, all while enjoying time with your closest 
friends and family. A great alternative to ordering in or grabbing take out. See the full menu by clicking “View Menu” above. Once your 
ticket is purchased, Chef will send you a suggested menu and shopping list complete with alternatives to help make your culinary 
experience catered to your favorite ingredients. You will also receive a “mise en place” list of items you should already have in your 
kitchen or pantry as well as what equipment you will be using. $34.99 per computer. Up to 20 computers per session.",Virtual Dinner Party French Inspired,35.00,,,,,
,,,,,,,,
Virtual Dinner Party Italian Inspired Dinner,"Have a blast cooking with your friends, family or loved ones as Chef coaches your group to a finished successful dinner. You will start 
with cutting and chopping, move into live cooking, and finish with a full completed dinner, all while enjoying time with your closest 
friends and family. A great alternative to ordering in or grabbing take out. See the full menu by clicking “View Menu” above. Once your 
ticket is purchased, Chef will send you a suggested menu and shopping list complete with alternatives to help make your culinary 
experience catered to your favorite ingredients. You will also receive a “mise en place” list of items you should already have in your 
kitchen or pantry as well as what equipment you will be using. $34.99 per computer. Up to 20 computers per session.",Virtual Dinner Party Italian Inspired Dinner,35.00,,,,,
,,,,,,,,
"Marukan Sponsored ""Build a Better Burger"" Virtual Class","Umami Loaded Burger. Fresh Summer Sausage. Jerk Pulled Pork Sandwich. 
Whether you use a fry pan, flat top, George Foreman or Instapot, you’ll be amazed
 at all the ways Marukan helps you craft the perfect burger. Brought to you by your friends
 at Marukan; join Chef LIVE on Zoom where he will help
 you raise the bar in barbecue with Marukan, The World’s Finest Rice Vinegar and 
Ponzu Sauce! Chef Austin will coach you on simple culinary tips and techniques, starting 
with cutting and chopping, quick pickling and sauce preparation, move into live cooking, 
and finish with three amazing burger, sausage and pulled pork dishes packed full of flavor, 
all while enjoying time with your closest friends and family.","""Build a Better Burger"" Menu",25.00,,,,,
,,,,,,,,
Weekly Drop Ofd Keto Diet,"Eating a ketogenic diet can make dining out a bit of a challenge. Thoughtfully prepared meals that you can reheat at your 
convenience, stress-free, no cooking. Menus designed with your input for your needs.
Plating of items may vary from the photos shown.",Ketogenic Weekly Drop Off Menu,500.00,,,,,
,,,,,,,,
Weekly Drop Off,"Your time and energy are valuable. Your Chef will create meals that will satisfy every member of your household so that you can focus on the things that matter most to you. Thoughtfully prepared meals that you can reheat at your convenience, stress-free, no cooking. Menus designed with your input for your needs.",Weekly Drop Off Menu; Family of 4,500.00,,,,,
